Job Title,Company,Location,Country,Flag,Tier,Search Keyword,Posted Date,Crawl Date,Source,Easy Apply,Remote / Workplace,Match Score,Visa Sponsorship Mentioned,Required Skills,Resume File Path,Applied Status,Notes,Job URL,City,City Openings
Senior Site Reliability Engineer (SRE) till vårt kontor i Karlskrona,DevPort,Karlskrona,Sweden,🇸🇪,1,Site Reliability Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_SWEDEN.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010175720958,Karlskrona,1
AI Platform Engineer,Advania,Stockholm,Sweden,🇸🇪,1,Site Reliability Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_SWEDEN.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010094627322,Stockholm,14
Senior DevOps Engineer,Needefy,Malmö,Sweden,🇸🇪,1,Site Reliability Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_SWEDEN.docx,No,,https://www.glassdoor.com/job-listing/?jl=1009669446491,Malmö,2
AI Engineer,Advania,Stockholm,Sweden,🇸🇪,1,Site Reliability Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_SWEDEN.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010108469443,Stockholm,14
Underhållsinspektör,Nouryon,Sundsvall,Sweden,🇸🇪,1,Site Reliability Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_SWEDEN.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010175761752,Sundsvall,2
Backendutvecklare,Elastx AB,Stockholm,Sweden,🇸🇪,1,Site Reliability Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_SWEDEN.docx,No,,https://www.glassdoor.com/job-listing/?jl=1009703572569,Stockholm,14
Underhållsinspektör,Nouryon,Sundsvall,Sweden,🇸🇪,1,Site Reliability Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_SWEDEN.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010176999502,Sundsvall,2
Infrastructure Engineering Manager (SRE),Fortnox,Växjö,Sweden,🇸🇪,1,Site Reliability Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_SWEDEN.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010213879583,Växjö,1
Platform Engineer,Guided Talent Solutions,Stockholm,Sweden,🇸🇪,1,Platform Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_SWEDEN.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010172682047,Stockholm,14
Azure Platform & Reliability Engineer,WeQuel,Stockholm,Sweden,🇸🇪,1,Platform Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,Azure,Country_Resumes/Hemachandiran_Giri_CV_SWEDEN.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010141091069,Stockholm,14
Integration Platform Engineer,Länsförsäkringar,Stockholm,Sweden,🇸🇪,1,Platform Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_SWEDEN.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010179597228,Stockholm,14
Cloud Platform Engineer,Iver,Linköping,Sweden,🇸🇪,1,Platform Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_SWEDEN.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010178362221,Linköping,1
DevOps Engineer,Edora,Copenhagen,Denmark,🇩🇰,1,DevOps Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_DENMARK.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010192763118,Copenhagen,17
DevOps Engineer,Asgaard Recruitment,Aarhus,Denmark,🇩🇰,1,DevOps Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_DENMARK.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010103550668,Aarhus,4
"Systems Engineer, DevOps",team.blue,Skanderborg,Denmark,🇩🇰,1,DevOps Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_DENMARK.docx,No,,https://www.glassdoor.com/job-listing/?jl=1009845340223,Skanderborg,1
"Ingeniørpraktikant, Digital Engineering til efteråret 2026",SYSTRA,Copenhagen,Denmark,🇩🇰,1,DevOps Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_DENMARK.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010053591196,Copenhagen,17
Power Platform Specialist til Semler IT,Semler Gruppen,Brøndby Strand,Denmark,🇩🇰,1,DevOps Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_DENMARK.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010169842741,Brøndby Strand,1
DevOps Engineer – Aalborg,Trifork,Aalborg,Denmark,🇩🇰,1,DevOps Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_DENMARK.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010166876255,Aalborg,1
Test Automation Engineer,Edora,Copenhagen,Denmark,🇩🇰,1,DevOps Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_DENMARK.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010192763531,Copenhagen,17
Microsoft Business Intelligence Konsulent - Stillingsopslag,BIWise A/S,Copenhagen,Denmark,🇩🇰,1,DevOps Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_DENMARK.docx,No,,https://www.glassdoor.com/job-listing/?jl=1009404182853,Copenhagen,17
Similix | Senior Data Engineer,Sid Factor 7,Copenhagen,Denmark,🇩🇰,1,DevOps Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_DENMARK.docx,No,,https://www.glassdoor.com/job-listing/?jl=1009768896864,Copenhagen,17
Bankdata - Senior Power Platform Architect,Kold +Partners,Fredericia,Denmark,🇩🇰,1,DevOps Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_DENMARK.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010087320179,Fredericia,1
Platform Engineer – Open Source & Kubernetes,Knowit,Copenhagen,Denmark,🇩🇰,1,Cloud Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,Kubernetes,Country_Resumes/Hemachandiran_Giri_CV_DENMARK.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010170556601,Copenhagen,17
Senior Cloud Engineer,Bankdata,Aarhus,Denmark,🇩🇰,1,Cloud Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_DENMARK.docx,No,,https://www.glassdoor.com/job-listing/?jl=1009988181903,Aarhus,4
Platform Engineer til Internal Developer Platform (IDP) Hos JP/Politikens Hus,JP/POL,Copenhagen,Denmark,🇩🇰,1,Cloud Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_DENMARK.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010196420492,Copenhagen,17
Cloud Sikkerhedsarkitekt,Jyske,Copenhagen,Denmark,🇩🇰,1,Cloud Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_DENMARK.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010218879554,Copenhagen,17
Data Engineer,Stretch (Sweden),Copenhagen,Denmark,🇩🇰,1,Cloud Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_DENMARK.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010123321961,Copenhagen,17
Senior Backend Developer / Platform Engineer med AI-interesse til Era│Aarhus,Generaxion,Aarhus,Denmark,🇩🇰,1,Cloud Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_DENMARK.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010143030087,Aarhus,4
"Cloud udvikler (studiejob) - Cutting Edge(GEN AI, React, Javascript, Python, AWS, Open Source)",ARNVIND GROUP,Copenhagen,Denmark,🇩🇰,1,Cloud Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,95%,No,"AWS, Python",Country_Resumes/Hemachandiran_Giri_CV_DENMARK.docx,No,,https://www.glassdoor.com/job-listing/?jl=1009970043766,Copenhagen,17
Frontend Engineer – Kommende Projekter,Etteplan Oyj,Herlev,Denmark,🇩🇰,1,Cloud Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_DENMARK.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010172713141,Herlev,1
SRE & Platform Engineer,NNIT,Copenhagen,Denmark,🇩🇰,1,Site Reliability Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_DENMARK.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010192520825,Copenhagen,17
Cloud Engineer,Dalux,Copenhagen,Denmark,🇩🇰,1,Site Reliability Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_DENMARK.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010012222397,Copenhagen,17
Cloud DevOps Engineer,TrackMan,Hørsholm,Denmark,🇩🇰,1,Site Reliability Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_DENMARK.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010196713651,Hørsholm,1
Platform Engineer,Relesys,Copenhagen,Denmark,🇩🇰,1,Site Reliability Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_DENMARK.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010169243136,Copenhagen,17
Staff Software Engineer - Deployment Platform,Uber,Central Jutland,Denmark,🇩🇰,1,Site Reliability Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_DENMARK.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010224485173,Central Jutland,1
Platform Engineer,Bankdata,Aarhus,Denmark,🇩🇰,1,Platform Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_DENMARK.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010026530445,Aarhus,4
Junior Data Platform Engineer,Knowit,Copenhagen,Denmark,🇩🇰,1,Platform Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_DENMARK.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010219240014,Copenhagen,17
Data Platform Engineer,Knowit,Copenhagen,Denmark,🇩🇰,1,Platform Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_DENMARK.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010219240013,Copenhagen,17
Senior Data Platform Engineer,Knowit,Copenhagen,Denmark,🇩🇰,1,Platform Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_DENMARK.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010219240011,Copenhagen,17
Application Platform Engineer - vær med til at bygge PFAs nye funktion for applikationsplatforme,PFA BANK,Copenhagen,Denmark,🇩🇰,1,Platform Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_DENMARK.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010213233344,Copenhagen,17
DevOps Engineer,Steel Dynamics,"Fort Wayne, IN",Australia,🇦🇺,1,DevOps Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_AUSTRALIA.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010059890988,Fort Wayne,4
Linux Systems Engineer / Infrastructure Administrator,Blue Heron InfoTech,"Fremont, IN",Australia,🇦🇺,1,Cloud Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,95%,No,Linux,Country_Resumes/Hemachandiran_Giri_CV_AUSTRALIA.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010219572828,Fremont,1
Senior Process Engineer,Yanfeng,"Bryan, OH",Australia,🇦🇺,1,Cloud Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_AUSTRALIA.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010135805767,Bryan,1
Senior Controls Engineer,TriMas Packaging LLC,"Auburn, IN",Australia,🇦🇺,1,Cloud Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_AUSTRALIA.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010141007946,Auburn,3
Senior Controls Engineer,TriMas,"Auburn, IN",Australia,🇦🇺,1,Cloud Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_AUSTRALIA.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010140896521,Auburn,3
Senior Supplier Quality Engineer (PUQ-PQA),Bosch,"Albion, IN",Australia,🇦🇺,1,Cloud Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_AUSTRALIA.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010226836217,Albion,2
"(USA) Senior Manager II, Site Engineer - Supply Chain",Walmart,"Auburn, IN",Australia,🇦🇺,1,Cloud Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_AUSTRALIA.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010205954256,Auburn,3
Sr. Substation Project Engineer,ENTRUST Solutions Group,"Fort Wayne, IN",Australia,🇦🇺,1,Cloud Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_AUSTRALIA.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010156406509,Fort Wayne,4
Municipal/Civil Senior Project Engineer,OHM Advisors,"Fort Wayne, IN",Australia,🇦🇺,1,Cloud Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_AUSTRALIA.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010213658114,Fort Wayne,4
Sr. Quality Engineer,Optimal CAE,"Elkhart, IN",Australia,🇦🇺,1,Cloud Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_AUSTRALIA.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010195581242,Elkhart,1
Senior Analytics Engineer,Premier Truck Rental (IN),"Fort Wayne, IN",Australia,🇦🇺,1,Cloud Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_AUSTRALIA.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010208445727,Fort Wayne,4
3rd Shift Maintenance Technician,Flex-N-Gate,"Angola, IN",Australia,🇦🇺,1,Site Reliability Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_AUSTRALIA.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010203393264,Angola,1
Controls Engineer,Fortune Brands Innovations,"Butler, IN",Australia,🇦🇺,1,Site Reliability Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_AUSTRALIA.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010079189136,Butler,2
Maintenance Automation Engineer - Night Shift,Peak Workforce Solutions,"Albion, IN",Australia,🇦🇺,1,Site Reliability Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_AUSTRALIA.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010226773743,Albion,2
Process Reliability Manager,Strategic Materials,"Ashley, IN",Australia,🇦🇺,1,Site Reliability Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_AUSTRALIA.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010051834008,Ashley,1
Manufacturing Engineer,Multimatic Manufacturing,"Butler, IN",Australia,🇦🇺,1,Site Reliability Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_AUSTRALIA.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010199722702,Butler,2
Web Experience Manager,Fox Factory,"Coldwater, MI",Australia,🇦🇺,1,Platform Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_AUSTRALIA.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010166212659,Coldwater,2
Growth-Performance Marketing Manager,Fox Factory,"Coldwater, MI",Australia,🇦🇺,1,Platform Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_AUSTRALIA.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010166212655,Coldwater,2
Distribution Engineer (LaGrange County REMC),LaGrange County REMC,"Lagrange, IN",Australia,🇦🇺,1,Platform Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_AUSTRALIA.docx,No,,https://www.glassdoor.com/job-listing/?jl=1009808218776,Lagrange,1
Network Engineer,Hillsdale College,"Hillsdale, MI",Australia,🇦🇺,1,Platform Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_AUSTRALIA.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010211127400,Hillsdale,1
Talent Acquisition Partner,Sabre Industries,"Hicksville, OH",Australia,🇦🇺,1,Platform Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_AUSTRALIA.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010222467344,Hicksville,1
fabrication sales/engineer,Noble Industrial,"Avilla, IN",Australia,🇦🇺,1,Platform Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_AUSTRALIA.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010227443756,Avilla,1
Cloud Storage Engineer,AGE Solutions,"Battle Creek, MI",Australia,🇦🇺,1,Platform Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_AUSTRALIA.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010110647850,Battle Creek,1
Field Leader Electric Operations - Line,NiSource,"Goshen, IN",Australia,🇦🇺,1,Platform Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_AUSTRALIA.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010221458650,Goshen,1
Senior Process Engineer,Clearwater Paper,"Arkansas City, AR",Bahrain,🇧🇭,2,Cloud Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_BAHRAIN.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010225152904,Arkansas City,1
"Data Center Technician, DCC Communities",Amazon,"Vicksburg, MS",Bahrain,🇧🇭,2,Platform Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_BAHRAIN.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010220628093,Vicksburg,3
Integration Engineer,Akumin,"Greenville, MS",Bahrain,🇧🇭,2,Platform Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_BAHRAIN.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010203355103,Greenville,2
Infrastructure & Capital Projects â€“ Project Controls Scheduler ANS,Logic,"Greenville, MS",Bahrain,🇧🇭,2,Platform Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_BAHRAIN.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010204623996,Greenville,2
Ergon Asphalt and Emulsions - I&E Technician,Ergon,"Vicksburg, MS",Bahrain,🇧🇭,2,Platform Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_BAHRAIN.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010176018233,Vicksburg,3
Permit Supervisor (Drafting)-Telecommunications,CCI Systems,"Vicksburg, MS",Bahrain,🇧🇭,2,Platform Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,80%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_BAHRAIN.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010179223388,Vicksburg,3
Sr Devops Engineer - LATAM,Coderio,Trabajo desde casa,Oman,🇴🇲,2,DevOps Engineer,2026-08-13,2026-08-13,Glassdoor-Browser,No,On-site / Hybrid,90%,No,"AWS, Kubernetes, CI/CD, Terraform, Linux",Country_Resumes/Hemachandiran_Giri_CV_OMAN.docx,No,,https://www.glassdoor.com/job-listing/?jl=1010205008334,Trabajo desde casa,6
